FECHA;MP10;MP25;SO2;VELVIENTO;HUMEDAD;TEMPERATURA;NBUSES;PIB 
01-01-2016;14.31;4.63;72.82;1.60;69.57;16.60;118;2.904824143
02-01-2016;13.92;5.14;115.26;1.15;58.04;17.90;151;2.904824143
03-01-2016;16.88;7.65;101.13;1.85;53.68;17.07;118;2.904824143
04-01-2016;14.44;7.42;73.19;2.05;52.70;17.22;205;2.904824143
05-01-2016;28.11;7.08;75.10;2.73;57.25;19.08;205;2.904824143
06-01-2016;23.42;11.65;38.99;2.74;63.67;19.67;205;2.904824143
07-01-2016;30.08;13.36;46.79;1.90;68.23;18.78;205;2.904824143
08-01-2016;24.15;9.11;76.65;1.32;67.10;17.66;205;2.904824143
09-01-2016;23.61;13.44;63.85;1.40;64.25;18.10;151;2.904824143
10-01-2016;25.28;11.97;115.35;1.45;62.80;17.81;118;2.904824143
11-01-2016;16.15;9.71;107.96;1.77;63.29;18.28;205;2.904824143
12-01-2016;16.48;7.98;73.31;1.23;66.20;16.84;205;2.904824143
13-01-2016;15.97;13.23;99.09;1.82;70.26;17.83;205;2.904824143
14-01-2016;15.07;9.82;79.62;1.41;71.00;15.69;205;2.904824143
15-01-2016;17.29;8.44;45.79;1.30;67.46;17.20;205;2.904824143
16-01-2016;16.74;12.68;100.87;1.49;59.23;18.08;151;2.904824143
17-01-2016;16.31;7.07;84.40;1.09;54.94;16.97;118;2.904824143
18-01-2016;21.21;7.69;43.07;1.83;52.07;20.98;205;2.904824143
19-01-2016;22.40;6.66;79.18;1.22;60.51;20.31;205;2.904824143
20-01-2016;22.85;8.48;33.67;1.20;66.12;18.77;205;2.904824143
21-01-2016;20.87;4.32;24.00;1.78;71.65;19.08;205;2.904824143
22-01-2016;16.30;6.45;99.37;1.29;61.88;19.34;205;2.904824143
23-01-2016;10.93;3.58;61.13;1.81;66.90;19.35;151;2.904824143
24-01-2016;14.54;3.50;97.90;1.36;69.42;17.04;118;2.904824143
25-01-2016;22.93;5.88;67.74;1.10;71.70;16.40;205;2.904824143
26-01-2016;21.34;4.63;67.55;1.38;76.55;15.23;205;2.904824143
27-01-2016;9.02;4.47;93.49;2.03;70.80;16.90;205;2.904824143
28-01-2016;8.42;4.56;90.37;0.96;62.43;18.42;205;2.904824143
29-01-2016;11.31;4.05;52.85;1.52;61.14;19.28;205;2.904824143
30-01-2016;14.16;4.57;59.78;2.38;51.70;21.45;151;2.904824143
31-01-2016;17.27;7.47;58.90;2.14;50.61;23.05;118;2.904824143
01-02-2016;27.65;6.38;68.40;1.45;55.46;23.95;207;2.904824143
02-02-2016;20.91;4.58;31.61;1.37;57.39;20.96;207;2.904824143
03-02-2016;22.13;7.23;107.62;1.33;59.66;18.75;207;2.904824143
04-02-2016;24.54;10.07;70.54;1.40;61.40;17.05;207;2.904824143
05-02-2016;20.79;6.56;107.51;1.36;61.78;16.87;207;2.904824143
06-02-2016;29.28;9.90;125.00;0.88;63.47;17.45;153;2.904824143
07-02-2016;26.59;7.30;92.73;1.07;62.70;18.02;119;2.904824143
08-02-2016;13.77;5.63;115.57;1.75;66.18;17.29;207;2.904824143
09-02-2016;24.36;12.94;87.74;1.91;68.93;16.45;207;2.904824143
