FECHA;MP10;MP25;CO;SO2;NO2;O3;VELVIENTO;HUMEDAD;TEMPERATURA
01-01-2016;2;8;0.14231;3.26736;2.8274;4.1;NaN;NaN;NaN
01-01-2016;21;4;0.1375;3.21251;2.49685;3.675;NaN;NaN;NaN
01-01-2016;12;2;0.1;2.72245;1.4381;3.85833;NaN;NaN;NaN
01-01-2016;12;3;0.1;2.68874;1;4;NaN;NaN;NaN
01-01-2016;11;1;0.1;3.27299;1;3.89167;NaN;NaN;NaN
01-01-2016;9;7;0.1;3.52379;1.15935;3.4167;NaN;NaN;NaN
01-01-2016;9;8;0.1;3.3585;1.68149;2.55;NaN;NaN;NaN
01-01-2016;8;2;0.1;3.41878;1.186;4.5;NaN;NaN;NaN
01-01-2016;NaN;15;0.1;3.5687;1;4.86667;NaN;NaN;NaN
01-01-2016;NaN;16;0.1;2.29978;1;5.68333;NaN;NaN;NaN
01-01-2016;12;1;0.122829;2.2837;1;6.9167;NaN;NaN;NaN
01-01-2016;15;2;0.14299;2.63523;1;8.75;NaN;NaN;NaN
01-01-2016;19.392;8.21999;0.137269;3.7295;1;6.86667;2.3;63.2;25.1
01-01-2016;2.125;4.224;0.139766;3.65382;1;6.3;3.1;63.2;24.2
01-01-2016;14.8392;1.515;0.135565;3.49443;1;7.3833;2.8;63.2;24.8
01-01-2016;18.3;1;0.132843;3.9926;1;7.25;2.6;63.2;24.2
01-01-2016;16.42;1;0.126525;2.637;1;6.21667;2.5;63.2;23
01-01-2016;2.6533;1;0.119598;2.5172;1;4.95;1.7;62.9;22.5
01-01-2016;15.371;1.546;0.118983;4.4815;1;3.95833;1.5;62.9;22
01-01-2016;25.3433;13.2;0.12768;2.62316;1;2.95;1.7;62.7;19.7
01-01-2016;23.3933;7.489;0.1255;1.75577;1;2.5;2.1;62.4;17.3
01-01-2016;7.56683;1;0.117783;2.51439;1;1.75833;2.2;62;16.7
01-01-2016;4.67775;1;0.1956;2.37167;1;1.375;1.4;61.6;16
01-01-2016;6.55399;1;0.1;2.79475;1;1.11667;1.2;61.2;15.7
02-01-2016;5.92483;4.515;0.127256;3.75138;1;1;0.0999999;60.9;14.8
02-01-2016;9.96999;8.96999;0.125392;3.8638;1.74589;1;0;60.5;13.6
